n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti,checked_isbn,isbn_type,authenticity,matched_title
A1042,Edgar Lee Masters,Antologia di Spoon River,Newton Compton,1993,9788879830072,"Poesia, Teatro",FALSE,9788858827710,ISBN-13,corrected-isbn-by-title,Il diavolo in corpo
A1043,Edgar Lee Masters,Il nuovo Spoon River,Newton Compton,1995,9788879838030,"Poesia, Teatro",FALSE,8854141070,ISBN-10,corrected-isbn-by-title,Il mistero della signora scomparsa
A1044,Luigi Pirandello,Sei personaggi in cerca d'autore,Crescere,-,9788883371690,"Poesia, Teatro",FALSE,9788898403066,ISBN-13,found-isbn-by-title,
A1045,Luigi Pirandello,Maschere nude (Vol. 1),Newton Compton,1993,9788879831345,"Poesia, Teatro",FALSE,9783961645596,ISBN-13,corrected-isbn-by-title,Il grillo del focolare
A1046,Rosetta Loy,La parola ebreo,Einaudi,-,9788806145393,"Romanzo Storico, Shoah narrativa, Biografia",FALSE,9788858417959,ISBN-13,found-isbn-by-title,
A1047,Roy Lewis,Il più grande uomo scimmia del pleistocene,Adelphi,1992,9788845909244,"Umorismo, Satira, Preistorico",FALSE,9788845971709,ISBN-13,found-isbn-by-title,
A1048,Lindsey Davis,In pasto ai leoni,Marco Tropea,-,9788843802370,"Giallo, Thriller, Romanzo Storico",FALSE,8855800574,ISBN-10,found-isbn-by-title,
A1049,Ernest Hemingway,Addio alle armi,Corriere della Sera,-,-,"Romanzo Storico, Guerra, Narrativa, Classici",FALSE,9788804451051,ISBN-13,found-isbn-by-title,
A105,Stefano Benni,La compagnia dei Celestini,Feltrinelli,2006,9788807812675,"Narrativa, Ragazzi",FALSE,9788807812798,ISBN-13,corrected-isbn-by-title,Favole
A1050,Valerio Massimo Manfredi,Il mio nome è Nessuno (Il giuramento),Mondadori,2012,9788804624158,"Romanzo Storico, Narrativa",FALSE,8804725931,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1051,Ernest Hemingway,Storie della guerra di Spagna,Mondadori,-,9788804665047,"Narrativa, Racconti, Romanzo Storico, Guerra",FALSE,9788852020612,ISBN-13,found-isbn-by-title,
A1052,Valerio Massimo Manfredi,Idi di marzo,Mondadori,2008,9788804579939,"Romanzo Storico, Narrativa",FALSE,9788858677100,ISBN-13,corrected-isbn-by-title,Rifondazione della fede
A1053,Valerio Massimo Manfredi,L'armata perduta,Mondadori,2007,9788804562108,"Romanzo Storico, Narrativa",FALSE,9788852010644,ISBN-13,corrected-isbn-by-title,L'armata perduta
A1054,Ernest Hemingway,Per chi suona la campana,Mondadori,-,9788804492758,"Romanzo Storico, Guerra, Narrativa",FALSE,9788852020490,ISBN-13,found-isbn-by-title,
A1055,E. M. Remarque,Niente di nuovo sul fronte occidentale,Rizzoli,2016,9788817117562,"Romanzo Storico, Guerra, Narrativa, Classici",FALSE,9788854522381,ISBN-13,corrected-isbn-by-title,L'inganno di Prometeo
A1056,Oriana Fallaci,La rabbia e l'orgoglio,Rizzoli,-,9788817129759,"Saggistica, Attualità",FALSE,9788858600719,ISBN-13,found-isbn-by-title,
A1057,Oriana Fallaci,Quel giorno sulla luna,Rizzoli,-,9788817036897,"Saggistica, Attualità, Storia",FALSE,9788858600696,ISBN-13,found-isbn-by-title,
A1058,AA. VV.,Grande guerra un racconto in 100 immagini,Stato Maggiore Difesa,2016,9788898185252,"Saggistica, Storia, Guerra",FALSE,8894262472,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1059,"Folman, Polonsky",Anne Frank - Diario (Graphic),Einaudi,2017,9788806233761,"Fumetti, Graphic Novel, Shoah narrativa",FALSE,9788806233761,ISBN-13,ok,Anne Frank
A106,Sarah Crossan,Apple e Rain,Feltrinelli,2016,9788807910234,"Narrativa, Ragazzi, Adolescenza",FALSE,8807910225,ISBN-10,corrected-isbn-by-title,Tutti i colori di te
A1060,Herman Melville,Moby Dick,Mondadori,2014,9788804676836,"Fumetti, Graphic Novel, Classici",FALSE,9788898062676,ISBN-13,corrected-isbn-by-title,Trilogia dello Sprawl
A1061,Luigi Pirandello,"Uno, nessuno e centomila",Newton Compton,-,9788854117098,"Narrativa, Classici",FALSE,9791281053311,ISBN-13,found-isbn-by-title,
A1062,Grazia Deledda,Canne al vento,San Paolo,-,9788821553553,"Narrativa, Classici",FALSE,1981502300,ISBN-10,found-isbn-by-title,
A1063,Stefano Benni,Achille piè veloce,Feltrinelli,-,9788807016404,"Umorismo, Grottesco",FALSE,8807016400,ISBN-10,found-isbn-by-title,
A1064,Oscar Wilde,L'importanza di essere Franco,Rusconi,-,9788818029515,"Poesia, Teatro",FALSE,8818020285,ISBN-10,found-isbn-by-title,
A1065,Oscar Wilde,Aforismi,Barbera Editore,-,9788878990264,"Saggistica, Filosofia",FALSE,9788858861899,ISBN-13,found-isbn-by-title,
A1066,Siobhan Dowd,La bambina dimenticata dal tempo,Uovonero,-,9788896918127,"Narrativa, Ragazzi, Adolescenza",FALSE,8896918162,ISBN-10,found-isbn-by-title,
A1067,Jane Austen,Tutti i romanzi,Newton Compton,-,9788854111720,"Narrativa, Classici",FALSE,9788854125568,ISBN-13,found-isbn-by-title,
A1068,Haruki Murakami,Il mestiere dello scrittore,Einaudi,2017,9788806232153,"Saggistica, Biografia",FALSE,9788858424889,ISBN-13,corrected-isbn-by-title,Io ti controllo
A1069,Giovanni Verga,Mastro Don Gesualdo,Newton Compton,-,9788854116541,"Narrativa, Classici",FALSE,9791041965632,ISBN-13,found-isbn-by-title,
A107,Daniel Pennac,Come un romanzo,Feltrinelli,2011,9788807880568,"Saggistica, Manuali",FALSE,9788851152857,ISBN-13,corrected-isbn-by-title,Quello che importa è grattarmi sotto le ascelle. Fernanda Pivano intervista Charles Bukowski
A1070,F. Scott Fitzgerald,Il grande Gatsby,Newton Compton,-,9788854124379,"Narrativa, Classici",FALSE,9788811018384,ISBN-13,found-isbn-by-title,
A1071,Gabriele D'Annunzio,Il piacere,Newton Compton,-,9788854117036,"Narrativa, Classici",FALSE,9788868651732,ISBN-13,found-isbn-by-title,
A1072,Michail Bulgakov,Il maestro e Margherita,Newton Compton,-,9788854117074,"Narrativa, Fantasy, Classici",FALSE,9788807943287,ISBN-13,found-isbn-by-title,
A1073,Oriana Fallaci,Intervista Oriana Fallaci,Corriere della Sera,-,-,"Saggistica, Storia, Attualità",FALSE,9788858673386,ISBN-13,found-isbn-by-title,
A1074,Renata Viganò,L'Agnese va a morire,Einaudi,-,9788806222667,"Romanzo Storico, Resistenza, Narrativa",FALSE,8806174843,ISBN-10,found-isbn-by-title,
A1075,Carlo Goldoni,La locandiera,Mondadori,-,9788804508923,"Poesia, Teatro",FALSE,9788898403103,ISBN-13,found-isbn-by-title,
A1076,Antonio Skarmeta,Il postino di Neruda,Garzanti,-,9788811668261,"Narrativa, Romanzo Storico",FALSE,9788858425879,ISBN-13,found-isbn-by-title,
A1077,Annie Franҫois,La lettrice,Guanda,-,9788882460678,"Saggistica, Umorismo, Libri",FALSE,9788854198401,ISBN-13,found-isbn-by-title,
A1078,Antonio Tabucchi,Sostiene Pereira,Feltrinelli,-,9788807813812,"Romanzo Storico, Narrativa",FALSE,9788858806227,ISBN-13,found-isbn-by-title,
A1079,Charles Dickens,David Copperfield,Crescere,-,9788883371928,"Narrativa, Ragazzi, Formazione, Classici",FALSE,9788854140370,ISBN-13,found-isbn-by-title,
A108,Amos Oz,Contro il fanatismo,Feltrinelli,2015,9788807886768,"Saggistica, Filosofia, Attualità",FALSE,9788858812129,ISBN-13,corrected-isbn-by-title,"L'orda d'oro. 1968-1977: la grande ondata rivoluzionaria e creativa, politica ed esistenziale"
A1080,Helen Humphreys,Il giardino perduto,Playground,-,9788889113072,"Narrativa, Romanzo Storico",FALSE,8857233359,ISBN-10,found-isbn-by-title,
A1081,Marilynne Robinson,Lila,Einaudi,-,9788806219599,"Romanzo, Spirituale, Drammatico",FALSE,8845909204,ISBN-10,found-isbn-by-title,
A1082,Stephen King,Danse Macabre,Frassinelli,-,9788876841773,"Saggistica, Fantasy, Horror",FALSE,9788884060945,ISBN-13,found-isbn-by-title,
A1083,Diego Ferra,NUMB Anna,Sperling & Kupfer,-,9788820061516,"Narrativa, Ragazzi, Adolescenza",FALSE,9788820097257,ISBN-13,found-isbn-by-title,
A1084,Abir Mukherjee,L'uomo di Calcutta,SEM,-,9788893900286,"Giallo, Thriller, Romanzo Storico",FALSE,9788893901024,ISBN-13,found-isbn-by-title,
A1085,Alessandro Baricco,Novecento,Feltrinelli,-,9788807813027,"Poesia, Teatro, Narrativa",FALSE,9788858845257,ISBN-13,found-isbn-by-title,
A1086,Renee Engeln,Beauty Mania,HarperCollins,2017,9788869052569,"Saggistica, Scienze, Attualità",FALSE,9788858976579,ISBN-13,corrected-isbn-by-title,Il colore bianco degli inizi
A1087,Laura Calosso,La stoffa delle donne,SEM,-,9788893900224,"Romanzo, Sociale, Moda",FALSE,9788893900102,ISBN-13,found-isbn-by-title,
A1088,Charles & Mary Lamb,Tales from Shakespeare,Pearson,-,9781405862363,"Ragazzi, Poesia, Teatro",FALSE,9788125951483,ISBN-13,corrected-isbn-by-title,An Ideal Husband
A1089,Francisco Brines,La rosa della notte,Edizioni Cadmo,-,9788879230536,"Poesia, Teatro",FALSE,9788879230536,invalid,not-found (No valid ISBN found in title results),
A109,"More, Reed, Reed",I segreti di Amber House,Feltrinelli,2016,9788807910241,"Narrativa, Fantasy, Horror, Gotico",FALSE,8807922193,ISBN-10,corrected-isbn-by-title,Con una rosa in mano
A1090,Lev Tolstoj,Anna Karenina,Einaudi,-,9788806219315,"Narrativa, Classici",FALSE,9788811137689,ISBN-13,found-isbn-by-title,
A1091,Annie Cohen-Solal,Americani per sempre,Johan & Levi,2012,9788860100818,"Saggistica, Storia",FALSE,9788858768921,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1092,Piero Bevilacqua,Il grande saccheggio,Laterza,2011,9788842095811,"Saggistica, Storia, Attualità",FALSE,9788858104590,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1093,J. F. Ferrándiz,La terra maledetta,Longanesi,2019,9788830451438,Romanzo Storico,FALSE,9788830452466,ISBN-13,corrected-isbn-by-title,Sulla pista degli elefanti
A1094,Wilbur Smith,Il settimo papiro,TEA,-,9788878183185,"Narrativa, Avventura",FALSE,9788830514850,ISBN-13,found-isbn-by-title,
A1095,Ted Chiang,Storie della tua vita,Frassinelli,-,9788893420043,"Fantasy, Distopico, Racconti",FALSE,9791281777576,ISBN-13,found-isbn-by-title,
A1096,Seneca,Apokolokyntosis,Mondadori,1996,9788804414677,"Narrativa, Classico, Satira",FALSE,8809207106,ISBN-10,found-isbn-by-title,
A1097,Giovanni Boccaccio,Vita di Dante,Moretti & Vitali,2014,9788871865669,"Biografia, Memorie, Classico",FALSE,9788871865669,ISBN-13,title-mismatch,Atque. La parola che immagina
A1098,Fëdor Dostoevskij,Le notti bianche,Garzanti,-,9788811361254,"Narrativa, Racconti, Classico",FALSE,9788854980655,ISBN-13,found-isbn-by-title,
A1099,Katie Khan,Regalami una stella,Newton Compton,-,9788822701021,"Narrativa, Romanzo",FALSE,8822707702,ISBN-10,found-isbn-by-title,
A110,Rolf Lappert,Pampa Blues,Feltrinelli,2013,9788807910036,Ragazzi,FALSE,9788858812372,ISBN-13,corrected-isbn-by-title,Quando i babbuini andavano al cinema
A1100,Marcel Proust,Alla ricerca del tempo perduto,Mondadori,2011,9788804604594,"Narrativa, Classico",FALSE,9788858610268,ISBN-13,corrected-isbn-by-title,Amarsi da grandi. Vivere con gioia anni preziosi
A1101,Collettivo Senza Slot,Vivere senza Slot,Nuova Dimensione,2013,9788889200988,"Saggistica, Attualità",FALSE,8889100877,ISBN-10,found-isbn-by-title,ISBN not found in the database
A11027,Stefano Benni,Margherita Dolcevita,Feltrinelli,2010,9788807880902,"Narrativa, Romanzo",FALSE,8427321740,ISBN-10,corrected-isbn-by-title,Diario di scuola
A1103,Emiliano Poddi,Tre volte invano,Instar Libri,2012,9788846101488,"Narrativa, Romanzo",FALSE,8846101669,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1104,Andrea Antonello,Baci a tutti,Piemme,2016,9788856653243,"Biografia, Memorie",FALSE,9788820092504,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1105,Daniel Pennac,Il paradiso degli orchi,Feltrinelli,1992,9788807880629,"Giallo, Thriller, Narrativa",FALSE,9788807947186,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1106,H. M. Enzensberger,Il mago dei numeri,Mondadori,2000,9788806146405,"Ragazzi, Saggistica",FALSE,9788858430040,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1107,Bebe Vio,Mi hanno regalato un sogno,Rizzoli,2017,9788817093224,"Biografia, Memorie",FALSE,9788858690048,ISBN-13,corrected-isbn-by-title,Il canone americano. Lo spirito creativo e la grande letteratura
A1108,Blake Nelson,Paranoid park,Rizzoli,2007,9788846208750,Ragazzi,FALSE,8817019763,ISBN-10,corrected-isbn-by-title,Agguato sull'isola
A1109,F. e A. Antonello,Sono graditi visi sorridenti,Feltrinelli,2013,9788807491443,"Biografia, Memorie",FALSE,9788858823422,ISBN-13,corrected-isbn-by-title,We are alive. Ritratto di Bruce Springsteen
A111,Daniel Pennac,Il paradiso degli orchi,Feltrinelli,2011,9788807880629,"Giallo, Thriller, Narrativa",FALSE,9788807947186,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1110,F. H. Burnett,Il giardino segreto,Social Libri,2017,9788894191387,"Ragazzi, Classico",FALSE,9788851180195,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1111,Paolo Crepet,Baciami senza rete,Mondadori,2016,9788804669043,"Saggistica, Psicologia",FALSE,9788852075568,ISBN-13,corrected-isbn-by-title,Il cane. Tutti i perché. I migliori amici dell'uomo
A1112,Ken Follett,La caduta dei giganti,Mondadori,2011,9788804613763,Romanzo Storico,FALSE,9788852016844,ISBN-13,corrected-isbn-by-title,L'inquisitore
A1113,David Lindley,La luna di Einstein,TEA,2005,9788850207862,"Saggistica, Scienze",FALSE,8850200293,ISBN-10,corrected-isbn-by-title,I conquistatori dell'Antartide
A1114,Enzo Fileno Carabba,Fuga da Magopoli,Marcos y Marcos,2017,9788871687841,"Ragazzi, Fantasy",FALSE,8871688031,ISBN-10,corrected-isbn-by-title,Primo Levi
A1115,Enzo Fileno Carabba,Battaglia a Magopoli,Marcos y Marcos,2017,9788871688008,"Ragazzi, Fantasy",FALSE,887168804X,ISBN-10,corrected-isbn-by-title,Finché c'è prosecco c'è speranza
A1116,Kevin Brooks,Naked,Piemme,2011,9788856616958,Ragazzi,FALSE,0813523583,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1117,Erica Grazioli,Cioccolato e cannella…,Selecta,2016,9788899432096,"Biografia, Memorie",FALSE,9788869494888,ISBN-13,corrected-isbn-by-title,La città svelata. Scartografia di emozioni tornate
A1118,Fulvia Degl'Innocenti,La libraia,San Paolo,2014,9788821592652,Ragazzi,FALSE,9788809977211,ISBN-13,corrected-isbn-by-title,"Lettera agli ebrei. Introduzione, traduzione e commento"
A1119,Marie-Aude Murail,https://www.google.com/search?q=Persidivista.com,Giunti,2017,9788809836365,Ragazzi,FALSE,9788809836365,ISBN-13,not-found (No title matches found),ISBN not found in the database
A112,Javier Ruescas,Tutti i colori di te,Feltrinelli,2016,9788807910227,Ragazzi,FALSE,8807910233,ISBN-10,corrected-isbn-by-title,Apple e Rain
A1120,Carlo Greppi,Non restare indietro,Feltrinelli,2015,9788807910180,"Saggistica, Storia",FALSE,9788858841143,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1121,Alessandro Barbero,La storia (l'origine dell'umanità),Corriere della Sera,2017,-,"Saggistica, Storia",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1122,"Salerno, Bernini",La storia di Voghera,Guardamagna,2016,9788895193489,"Saggistica, Storia",FALSE,8898832400,ISBN-10,corrected-isbn-by-title,Il futuro nella memoria
A1123,Dominique Lapierre,Più grandi dell'amore,Mondadori,1990,9788804340150,"Saggistica, Attualità",FALSE,880433326X,ISBN-10,found-isbn-by-title,
A1124,Lemony Snicket,Un infausto inizio,Salani,2017,9788869181955,"Ragazzi, Fantasy",FALSE,9788862564014,ISBN-13,corrected-isbn-by-title,Il libro coniglio. Libro ufficiale della trasmissione di RaiRadio2 Il ruggito del coniglio
A1125,Italo Svevo,Senilità,Bompiani,1985,9788845212390,"Narrativa, Classico",FALSE,9786558947066,ISBN-13,corrected-isbn-by-title,Il libro del riso e dell'oblio
A1126,J. R. R. Tolkien,Lo Hobbit,Adelphi,2018,9788845932595,"Fantasy, Classico, Ragazzi",FALSE,9788858757420,ISBN-13,corrected-isbn-by-title,La Repubblica delle Lettere
A1128,Fëdor Dostoevskij,Il giocatore,Bompiani,1997,9788845245107,"Narrativa, Classico",FALSE,9788818035124,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1129,Ken Follett,I pilastri della terra,Mondadori,1990,9788804568971,Romanzo Storico,FALSE,9788852022166,ISBN-13,corrected-isbn-by-title,Un posto nel mondo
A113,Vandana Shiva,Storia dei semi,Feltrinelli,2013,9788807882463,"Saggistica, Scienze",FALSE,8807922002,ISBN-10,corrected-isbn-by-title,L'arte dell'inganno. I consigli dell'hacker più famoso del mondo
A1130,Jonathan Safran Foer,"Molto forte, incredibilmente vicino",Guanda,-,9788882468926,"Narrativa, Romanzo",FALSE,9788823505957,ISBN-13,found-isbn-by-title,
A1131,Carlo Cassola,Il taglio del bosco,Mondadori,-,-,"Narrativa, Racconti",FALSE,1131122259,ISBN-10,found-isbn-by-title,
A1621,Isaac Asimov,Le grandi storie della fantascienza,Newton Compton,-,9788854122344,"Narrativa, Fantasy, Racconti",FALSE,9788854122344,invalid,not-found (No valid ISBN found in title results),
A1132,Desy Icardi,L'annusatrice di libri,Fazi Editore,-,9788893254921,"Narrativa, Romanzo",FALSE,9788893255509,ISBN-13,found-isbn-by-title,
A1133,Desy Icardi,"Quaderno per ""L'annusatrice di libri""",Fazi Editore,-,-,"Narrativa, Romanzo",FALSE,,invalid,not-found (No title matches found),
A1134,Suzy Zail,La pianista di Auschwitz,Il Giornale,-,-,"Romanzo Storico, Ragazzi",FALSE,9788854189935,ISBN-13,found-isbn-by-title,
A1135,Michela Murgia,Accabadora,Einaudi,-,9788806197804,"Narrativa, Romanzo",FALSE,9788806197803,ISBN-13,found-isbn-by-title,
A1136,Roberto Piumini,Uomini con figure,Einaudi,1990,9788828600861,"Ragazzi, Biografia, Memorie",FALSE,9788828600861,invalid,not-found (No valid ISBN found in title results),
A1137,Tim Bruno,"NEOS, la città sospesa",Salani,-,9788862561913,"Ragazzi, Fantasy",FALSE,9788893814430,ISBN-13,found-isbn-by-title,
A1138,Barbara D'Alto,La stanza delle mele,Guida,-,9788860424562,"Narrativa, Romanzo",FALSE,9788858846636,ISBN-13,found-isbn-by-title,
A1139,Ann Brashares,La seconda estate,Rizzoli,-,9788817013584,Ragazzi,FALSE,9788820090968,ISBN-13,found-isbn-by-title,
A114,Shane Peacock,L'occhio del corvo,Feltrinelli,2015,9788807910166,"Ragazzi, Giallo, Thriller",FALSE,880791056X,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1140,Richelle Mead,Midnight Jewel,LSWR,-,9788868955211,"Ragazzi, Fantasy",FALSE,9788868955625,ISBN-13,found-isbn-by-title,
A1141,Fred Uhlman,L'amico ritrovato,Feltrinelli,-,9788807880708,"Romanzo Storico, Classico",FALSE,9788858847008,ISBN-13,found-isbn-by-title,
A1142-a,"Antonielli, Chittolini",Storia della Lombardia (Vol. 1),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE,8842068527,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1142-b,"Antonielli, Chittolini",Storia della Lombardia (Vol. 2),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE,9788842115021,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1142-c,"Antonielli, Chittolini",Storia della Lombardia (Vol. 3),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE,8842068527,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1142-d,"Antonielli, Chittolini",Storia della Lombardia (Vol. 4),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE,9788842062189,ISBN-13,not-found (No valid ISBN found in title results),ISBN not found in the database
A1142-e,"Antonielli, Chittolini",Storia della Lombardia (Vol. 5),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE,9788842062189,ISBN-13,not-found (No valid ISBN found in title results),ISBN not found in the database
A1143,Daniel Defoe,Robinson Crusoe,Garzanti,-,9788811360349,"Narrativa, Avventura, Classico",FALSE,9788865260487,ISBN-13,found-isbn-by-title,
A1144,Elena Ferrante,L'amica geniale,Edizioni e/o,2018,9788866320326,"Narrativa, Romanzo",FALSE,9788866320951,ISBN-13,corrected-isbn-by-title,L'amica geniale
A1145,Michael Zadoorian,Beautiful Music,Marcos y Marcos,2018,9788871688176,"Narrativa, Romanzo",FALSE,9788871688176,ISBN-13,title-mismatch,Anime perse
A1145-1,"Portinari, Carbone",174517 deportato: Primo Levi,La Meridiana,2019,9788879168694,"Fumetti, Graphic Novel, Romanzo Storico",FALSE,8861536913,ISBN-10,corrected-isbn-by-title,"Paris, un Lieu Commun"
A1146,"Barilli, De Carli",Il delitto Matteotti,BeccoGiallo,2018,9788899016937,"Fumetti, Graphic Novel, Storia",FALSE,9788858105337,ISBN-13,corrected-isbn-by-title,Heart and brain
A1147,Chiara Gamberale,Le luci nelle case degli altri,Mondadori,2017,9788804608639,"Narrativa, Romanzo",FALSE,9788852017223,ISBN-13,corrected-isbn-by-title,Fuori dalla guerra
A1148,Todd Strasser,L'onda,Rizzoli,2018,9788817032735,"Ragazzi, Romanzo Storico",FALSE,9788858694046,ISBN-13,corrected-isbn-by-title,Manuale del perfetto turista
A1149,Giuseppe Catozzella,E tu splendi,Feltrinelli,2018,9788807032844,"Ragazzi, Narrativa",FALSE,9788858831946,ISBN-13,corrected-isbn-by-title,Il dottor Zivago
A115,Erri De Luca,Il peso della farfalla,Feltrinelli,2016,9788807888595,"Narrativa, Racconti",FALSE,9788858841358,ISBN-13,corrected-isbn-by-title,Opere
A1150,Alessandro D'Avenia,Ciò che inferno non è,Mondadori,2019,9788804646273,"Romanzo Storico, Biografia, Memorie",FALSE,9788852057243,ISBN-13,corrected-isbn-by-title,La saggezza dell'anima. Quello che ci rende unici
A1151,Rossella Postorino,Le assaggiatrici,Feltrinelli,2018,9788807032691,Romanzo Storico,FALSE,9788807032691,ISBN-13,ok,Le assaggiatrici
A1152,Giorgio Scianna,Qualcosa ci inventeremo,Einaudi,2014,9788806220808,"Ragazzi, Narrativa",FALSE,8806218670,ISBN-10,corrected-isbn-by-title,Il senso di una fine
A1153,Giorgio Scianna,Cose più grandi di noi,Einaudi,2019,9788806240097,"Ragazzi, Narrativa",FALSE,9788858430842,ISBN-13,corrected-isbn-by-title,Un volgo disperso. Contadini d'Italia nell'Ottocento
A1154,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236052,"Ragazzi, Narrativa",FALSE,9788858425244,ISBN-13,corrected-isbn-by-title,Anita
A1155,Paolo Giordano,La solitudine dei numeri primi,Mondadori,2018,9788804685609,"Narrativa, Romanzo",FALSE,9782390802884,ISBN-13,corrected-isbn-by-title,Un passato da spia
A1156,Ryszard Kapuściński,Shah-in-shah,Feltrinelli,2017,9788807881077,"Saggistica, Storia",FALSE,8807817780,ISBN-10,corrected-isbn-by-title,Vento rosso e altri racconti
A1157,William Golding,Il signore delle mosche,Mondadori,2018,9788804667001,"Narrativa, Classico, Fantasy",FALSE,9782808690096,ISBN-13,corrected-isbn-by-title,Idi di marzo
A1158,Matt Killeen,La bambina di Hitler,Garzanti,2019,9788811604594,"Ragazzi, Romanzo Storico",FALSE,9788811608912,ISBN-13,corrected-isbn-by-title,L'apprendista geniale
A1159,Alessandro D'Avenia,L'arte di essere fragili,Mondadori,2019,9788804684121,"Saggistica, Letteratura",FALSE,9788852077418,ISBN-13,corrected-isbn-by-title,Daisy sei nei guai!
A116,Corrado Ceschinelli,Cambiamente,Curcu & Genovese,-,9788896737521,Saggistica,FALSE,9788836007059,ISBN-13,corrected-isbn-by-title,"Lo slang di Bolzano. Frasi, parole, espressioni: il primo vocabolario altoatesino al 100 per cento"
A1160,Alessandro D'Avenia,Bianca come il latte rossa come il sangue,Mondadori,2010,9788804595199,"Ragazzi, Narrativa",FALSE,9788852012495,ISBN-13,corrected-isbn-by-title,Nostalgia della ruggine
A1161,Amélie Nothomb,Acido solforico,Voland,2015,9788862430166,"Narrativa, Fantasy",FALSE,9788862430166,ISBN-13,title-mismatch,Metafisica dei tubi
A1162,"Apuzzo, Carnazzi",Quattro sberle in padella,Stampa Alternativa,2012,9788888916941,"Saggistica, Attualità",FALSE,8862222416,ISBN-10,corrected-isbn-by-title,Alpini Della Valsusa. Storia e album fotografico dal 1943 al 2012
A1163,Giacomo Mazzariol,Mio fratello rincorre i dinosauri,Einaudi,2016,9788806230623,"Narrativa, Biografia, Memorie",FALSE,8806239066,ISBN-10,corrected-isbn-by-title,Corruzione
A1164,Nicola Brunialti,Il paradiso alla fine del mondo,Sperling & Kupfer,2019,9788820066529,Ragazzi,FALSE,9788893428231,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1165,Lia Levi,Questa sera è già domani,Edizioni e/o,2018,9788866329435,Romanzo Storico,FALSE,9788866329350,ISBN-13,corrected-isbn-by-title,Il compimento è la pioggia
A1166,Niccolò Ammaniti,Io non ho paura,Einaudi,2011,9788806207694,"Narrativa, Romanzo",FALSE,9788806207694,ISBN-13,ok,Io non ho paura
A1167,Greta Thunberg,La nostra casa è in fiamme,Mondadori,2019,9788804711261,"Saggistica, Attualità",FALSE,8804788445,ISBN-10,corrected-isbn-by-title,Il metro della felicità
A1168,Fond. F. De André,Anche le parole sono nomadi,Chiarelettere,2018,9788861907758,"Poesia, Teatro",FALSE,9788832961508,ISBN-13,found-isbn-by-title,
A1169,Zygmunt Bauman,Modernità liquida,Laterza,2019,9788842094890,"Saggistica, Sociologia",FALSE,9788858107287,ISBN-13,corrected-isbn-by-title,La convergenza inevitabile. Una via globale per uscire dalla crisi
A117,Arthur Conan Doyle,Sherlock Holmes - Tutti i racconti,Einaudi,2015,9788806227296,"Giallo, Thriller, Classico",FALSE,8806227688,ISBN-10,corrected-isbn-by-title,Il lato oscuro del cuore
A1170,"Mentana, Segre",La memoria rende liberi,Rizzoli,2018,9788817107952,"Biografia, Memorie, Storia",FALSE,881708400X,ISBN-10,corrected-isbn-by-title,I fratelli Karamazov
A1171,Luigi Garlando,Per questo mi chiamo Giovanni,Rizzoli,2018,9788817103268,"Ragazzi, Attualità",FALSE,9788817026147,ISBN-13,corrected-isbn-by-title,Abbiamo toccato le stelle. Storie di campioni che hanno cambiato il mondo
A1625,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini+Castoldi,2017,9788868520281,"Narrativa, Biografia, Memorie",FALSE,9788868651305,ISBN-13,corrected-isbn-by-title,Un piccolo dio
A1173,Anthony De Mello,Messaggio di un'aquila...,Piemme,2015,9788856627688,"Saggistica, Spiritualità",FALSE,9788858522226,ISBN-13,corrected-isbn-by-title,Un posto per ogni cosa
A1174,Michele Serra,Gli sdraiati,Feltrinelli,2016,9788807884399,"Narrativa, Romanzo",FALSE,9788858859094,ISBN-13,corrected-isbn-by-title,L'estrema fortuna
A1175,Michele Serra,Il nuovo che avanza,Feltrinelli,2013,9788807811739,"Saggistica, Attualità",FALSE,9788807811739,ISBN-13,ok,Il nuovo che avanza
